record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,school_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3sjenzOK9TKX3gcBn,8619900,new_entry,original,NA,NA,"United States, Georgia Governor issues an executive order extending the timeline by 120 days, for routine inspections for all permit holders of a food service establishment maintaining an ""A"" food safety grade, which was scheduled to have a routine inspection at any time between March 14, 2020 and September 10, 2020.",2020-04-27,2020-05-27,2020-09-10,United States of America,USA,US,Provincial,1,Georgia,NA,Restriction and Regulation of Government Services,Issuing of permits/certificates and/or processing of government documents,NA,NA,United States of America,NA,NA,Georgia,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders,2020-05-06,2020-05-06T07:02:52Z
R_poANC2UjJpVPn21NA,1444037,update,original,Change of Policy,Strengthening,"Effective April 30 to May 15, all people in Alabama are encouraged to minimize travel outside the home. This policy was extended to May 22, July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-10-02,United States of America,USA,US,Provincial,0,Alabama,NA,Quarantine,General,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Voluntary/Recommended but No Penalties,Provincial/State Government,NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-07-31,2020-07-31T19:24:03Z
R_OcVcEABcHakNKmJCj,1571724,new_entry,original,NA,NA,"The Wyoming State Health Officer has issued the prohibition of indoor gatherings of more than 50 people, which will be in effect on August 16th, 2020 effective until August 31st, 2020.",2020-08-12,2020-08-16,2020-08-31,United States of America,USA,US,Provincial,1,Wyoming,NA,Restrictions of Mass Gatherings,Other mass gatherings not specified above restricted,NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://drive.google.com/file/d/1bURuq3wNYCaCZuwfIlLbn8HMnarhP4VL/view,2020-08-17,2020-08-17T00:24:50Z
R_1IoNp01MSY4QsPrNA,1596354,new_entry,original,NA,NA,"On August 12th, 2020, Governor Mark Gordon of Wyoming updated health orders effective Aug. 16 until August 31st. Indoor gatherings are limited to 250 people if there is social distancing and enhanced sanitation measures, otherwise they are limited to 50 people. 
",2020-08-12,2020-08-16,2020-09-16,United States of America,USA,US,Provincial,1,Wyoming,NA,Restrictions of Mass Gatherings,General,NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#wyoming,2020-08-23,2020-08-23T21:32:29Z
R_1EWKblNsXU5qMkSDn,1782157,update,original,Change of Policy,Strengthening,"Effective May 11 through May 22, all restaurants and bars in Alabama may offer on-premises consumption of food or drink, but must limit the party size at tables to no more than eight persons and maintain at least six feet of separation between people seated at different tables. They must disallow self-service by guests at drink stations, buffets, or salad bars. This policy was extended through July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,Restaurants,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.8.2020.pdf,2020-08-03,2020-08-03T17:38:03Z
R_1EWKblNsXU5qMkSAi,1782157,update,original,Change of Policy,Strengthening,"Effective May 11 through May 22, all restaurants and bars in Alabama may offer on-premises consumption of food or drink, but must limit the party size at tables to no more than eight persons and maintain at least six feet of separation between people seated at different tables. They must disallow self-service by guests at drink stations, buffets, or salad bars. This policy was extended through July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,Bars,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.8.2020.pdf,2020-08-03,2020-08-03T17:38:03Z
R_1QzSX02q0o2QSOmDt,1824387,update,original,Change of Policy,Strengthening,"Effective April 30 through May 15, retail stores in Alabama shall take reasonable steps to comply with guidelines on sanitation from the Centers for Disease Control and Prevention (CDC) and the Alabama Department of Public Health. This policy was extended through May 22, July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,Retail Businesses,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-07-31,2020-07-31T19:54:22Z
R_2eW1l8BcMJDnArmBo,1866757,update,original,Change of Policy,Strengthening,"Effective May 11 through May 22, all non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons from different households are prohibited in Alabama. This policy was extended through July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Social Distancing,Keeping a distance of at least 6 feet or 1.5 meters apart,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-07-31,2020-07-31T19:41:12Z
R_qIMcs78a43K54gFCk,1909402,update,original,Change of Policy,Strengthening,"Effective May 11 through May 22, employees of athletic facilities in Alabama shall not knowingly allow patrons or guests to congregate within six feet of a person from another household. Athletic facilities must limit facility occupancy to 50 percent of the normal occupancy load and prohibit patrons and guests from accessing showers, hot tubs, steam rooms, lockers, saunas, and other recreational water or spa facilities. This policy was extended through July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.8.2020.pdf,2020-07-31,2020-07-31T20:02:51Z
R_1dB5m7aBdoNVIGhCk,1909402,update,correction,NA,Strengthening,"Effective May 11 through May 22, employees of athletic facilities in Alabama shall not knowingly allow patrons or guests to congregate within six feet of a person from another household. Athletic facilities must limit facility occupancy to 50 percent of the normal occupancy load and prohibit patrons and guests from accessing showers, hot tubs, steam rooms, lockers, saunas, and other recreational water or spa facilities. This policy was extended through July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,1,Alabama,NA,Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,NA,United States of America,NA,NA,Alabama,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.8.2020.pdf,2020-07-31,2020-07-31T20:04:49Z
R_1rNTDp00Jk1n8RxNA,2599563,update,original,Change of Policy,Both Strengthening and Relaxing,"Effective March 20 through April 6, all Hospitals and Nursing Home/Long Term Care Facilities in Alabama shall prohibit visitation of all visitors. This policy was extended through April 17, April 30, May 15, May 22, July 3, July 31, and August 31 and Hospitals and Nursing Home/Long Term Care Facilities were recommended to limit the entrance of visitors. UPDATE: Effective July 31 through August 31, all Hospitals and Nursing Home/Long Term Care Facilities in Alabama shall limit the entrance of visitors.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Quarantine,General,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://alabamapublichealth.gov/legal/assets/order-publicgathering-032020.pdf,2020-08-03,2020-08-03T17:34:28Z
R_3ESRKSFNUp95GOPNA,2823351,new_entry,original,NA,NA,"On August 12th, Governor Mark Gordon of Wyoming Under updated health orders effective Aug. 16 until August 31st. Outdoor gatherings can expand to up to 50% of venue capacity with a maximum of 1,000 people under social distancing and sanitation protocols.",2020-08-12,2020-08-16,2020-08-31,United States of America,USA,US,Provincial,1,Wyoming,NA,Restrictions of Mass Gatherings,General,NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#wyoming,2020-08-23,2020-08-23T21:26:52Z
R_3EHxiscg0ehEaKlCi,3046855,update,original,Change of Policy,Strengthening,"Effective May 11 through May 22, employees of close-contact service providers in Alabama shall wear a mask while providing services within 6 feet of a client. This policy was extended through July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Mask Restrictions,Other Mask Wearing Policy,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.8.2020.pdf,2020-07-31,2020-07-31T19:56:45Z
R_1ODol22ED0Z3WyfCk,3061692,update,original,Change of Policy,Strengthening,"Effective May 23 through July 3, employees of day and overnight youth summer camps in Alabama shall not knowingly allow campers or guests to congregate within six feet of a person from another household. Camps shall take reasonable steps to regularly disinfect frequently used items and surfaces. This policy was extended through July 31 and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,Other Non-Essential Businesses,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-08-03,2020-08-03T17:30:22Z
R_1CsHm0FxRmwj8JACq,3461740,update,original,Change of Policy,Strengthening,"Effective April 30 through May 15, dental, medical, or surgical procedures may proceed in Alabama unless the State Health Officer determines that performing such procedures would unacceptably reduce access to personal protective equipment or other resources necessary to diagnose and treat COVID-19. This policy was extended through May 22, July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Health Resources,Personal Protective Equipment,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,2020-08-03,2020-08-03T17:36:09Z
R_rdL5A3R5XMguk3nDn,3785156,new_entry,original,NA,NA,"On August 12th, 2020, the governor of Wyoming announced that restaurants, gyms, theaters, bars, and personal grooming services would be allowed to operate under certain conditions, effective on August 16th, 2020, until August 31st, 2020.",2020-08-12,2020-08-16,2020-09-15,United States of America,USA,US,Provincial,1,Wyoming,NA,Restriction and Regulation of Businesses,Restaurants,NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://drive.google.com/file/d/1O36sVWbTsEPKwndWbpLPH3AETDVeipvg/view,2020-08-23,2020-08-23T22:24:17Z
R_rdL5A3R5XMguk3nAi,3785156,new_entry,original,NA,NA,"On August 12th, 2020, the governor of Wyoming announced that restaurants, gyms, theaters, bars, and personal grooming services would be allowed to operate under certain conditions, effective on August 16th, 2020, until August 31st, 2020.",2020-08-12,2020-08-16,2020-09-15,United States of America,USA,US,Provincial,1,Wyoming,NA,Restriction and Regulation of Businesses,Bars,NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://drive.google.com/file/d/1O36sVWbTsEPKwndWbpLPH3AETDVeipvg/view,2020-08-23,2020-08-23T22:24:17Z
R_rdL5A3R5XMguk3nBx,3785156,new_entry,original,NA,NA,"On August 12th, 2020, the governor of Wyoming announced that restaurants, gyms, theaters, bars, and personal grooming services would be allowed to operate under certain conditions, effective on August 16th, 2020, until August 31st, 2020.",2020-08-12,2020-08-16,2020-09-15,United States of America,USA,US,Provincial,1,Wyoming,NA,Restriction and Regulation of Businesses,Non-Essential Commercial Businesses,NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://drive.google.com/file/d/1O36sVWbTsEPKwndWbpLPH3AETDVeipvg/view,2020-08-23,2020-08-23T22:24:17Z
R_rdL5A3R5XMguk3nCp,3785156,new_entry,original,NA,NA,"On August 12th, 2020, the governor of Wyoming announced that restaurants, gyms, theaters, bars, and personal grooming services would be allowed to operate under certain conditions, effective on August 16th, 2020, until August 31st, 2020.",2020-08-12,2020-08-16,2020-09-15,United States of America,USA,US,Provincial,1,Wyoming,NA,Restriction and Regulation of Businesses,Personal Grooming Businesses (e.g. hair salons),NA,NA,United States of America,NA,NA,Wyoming,NA,NA,All Residents (Citizen Residents + Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://drive.google.com/file/d/1O36sVWbTsEPKwndWbpLPH3AETDVeipvg/view,2020-08-23,2020-08-23T22:24:17Z
R_Qn6ZXLNYrKzcv8RDt,390525,update,original,Change of Policy,Strengthening,"Effective April 30 through May 15, all retail stores in Alabama shall limit occupancy to no more than 50 percent of the normal occupancy load as determined by the fire marshal. This policy was extended through May 22, July 3, July 31, and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,Retail Businesses,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),Provincial/State Government,NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-07-31,2020-07-31T19:46:41Z
R_2D1asGbzFlN156ZCi,3965989,update,original,Change of Policy,Strengthening,"Effective May 22 through July 3, employees of entertainment venues in Alabama shall wear a mask while in regular interaction with clients or guests. This policy was extended through July 31 and now through August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Mask Restrictions,Other Mask Wearing Policy,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-07-31,2020-07-31T20:09:55Z
R_bwLOWWifYDyh60xCi,4180955,update,original,Change of Policy,Strengthening,"Effective April 30 to May 15, all people in Alabama are encouraged to wear face coverings around people from other households when it is necessary to leave the home. This policy was extended to May 22, July 3, July 31, and now August 31, and on July 16, wearing a face covering became required. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-10-02,United States of America,USA,US,Provincial,0,Alabama,NA,Mask Restrictions,Other Mask Wearing Policy,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory with Exceptions (Please list exceptions in the text entry),Provincial/State Government,NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-07-31,2020-07-31T19:37:22Z
R_2ePaXURyXrq5wprAd,5020737,update,original,Change of Policy,Strengthening,"Effective July 16 through July 31, the operator of any business in Alabama open to the public shall take reasonable steps, where practicable, to protect their customers by encouraging the use of masks, maintaining six feet of separation between such persons (except for those persons who share the same household), and regularly disinfecting frequently used items and surfaces. This policy was extended through August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-071520.pdf,2020-08-07,2020-08-07T19:44:04Z
R_2918kAd2sZH5Q6sCi,5202736,update,original,Change of Policy,Strengthening,"Effective May 23 through July 3, employees of facilities providing child day care in Alabama shall wear a mask while in regular interaction with students or guests. This policy was extended through July 31 and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Mask Restrictions,Other Mask Wearing Policy,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-08-03,2020-08-03T17:28:22Z
R_sFHpsJmm0DNoIORCi,6167735,update,original,Change of Policy,Strengthening,"Effective June 1 through July 3, employees of all schools in Alabama, public and private, shall wear a mask when in regular interaction within six feet of a person from a different household. This policy was extended through July 31 and now August 31. UPDATE: The policy was extended from July 31 to August 31.",2020-07-29,2020-07-31,2020-08-31,United States of America,USA,US,Provincial,0,Alabama,NA,Mask Restrictions,Other Mask Wearing Policy,NA,NA,United States of America,NA,NA,Alabama,NA,NA,13,NA,NA,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",NA,NA,NA,NA,https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,2020-08-03,2020-08-03T17:24:32Z
